week,category,weekly_hours_viewed
2021-07-04,Films (English),114650000
2021-07-04,Films (Non-English),41200000
2021-07-04,TV (English),293910000
2021-07-04,TV (Non-English),181910000
2021-07-11,Films (English),113970000
2021-07-11,Films (Non-English),63500000
2021-07-11,TV (English),300490000
2021-07-11,TV (Non-English),141690000
2021-07-18,Films (English),114020000
2021-07-18,Films (Non-English),61000000
2021-07-18,TV (English),332560000
2021-07-18,TV (Non-English),159190000
2021-07-25,Films (English),109540000
2021-07-25,Films (Non-English),93140000
2021-07-25,TV (English),244860000
2021-07-25,TV (Non-English),132230000
2021-08-01,Films (English),96860000
2021-08-01,Films (Non-English),124290000
2021-08-01,TV (English),310050000
2021-08-01,TV (Non-English),136760000
2021-08-08,Films (English),117670000
2021-08-08,Films (Non-English),88090000
2021-08-08,TV (English),305290000
2021-08-08,TV (Non-English),136380000
2021-08-15,Films (English),229670000
2021-08-15,Films (Non-English),51830000
2021-08-15,TV (English),226100000
2021-08-15,TV (Non-English),129020000
2021-08-22,Films (English),181770000
2021-08-22,Films (Non-English),54380000
2021-08-22,TV (English),160250000
2021-08-22,TV (Non-English),126270000
2021-08-29,Films (English),212810000
2021-08-29,Films (Non-English),30720000
2021-08-29,TV (English),172880000
2021-08-29,TV (Non-English),100390000
2021-09-05,Films (English),151010000
2021-09-05,Films (Non-English),21840000
2021-09-05,TV (English),220430000
2021-09-05,TV (Non-English),314200000
2021-09-12,Films (English),133420000
2021-09-12,Films (Non-English),34760000
2021-09-12,TV (English),279220000
2021-09-12,TV (Non-English),266470000
2021-09-19,Films (English),144760000
2021-09-19,Films (Non-English),54050000
2021-09-19,TV (English),368170000
2021-09-19,TV (Non-English),206960000
2021-09-26,Films (English),122310000
2021-09-26,Films (Non-English),42040000
2021-09-26,TV (English),364270000
2021-09-26,TV (Non-English),575950000
2021-10-03,Films (English),160980000
2021-10-03,Films (Non-English),41070000
2021-10-03,TV (English),313190000
2021-10-03,TV (Non-English),754510000
2021-10-10,Films (English),137530000
2021-10-10,Films (Non-English),29490000
2021-10-10,TV (English),407100000
2021-10-10,TV (Non-English),592120000
2021-10-17,Films (English),85890000
2021-10-17,Films (Non-English),55230000
2021-10-17,TV (English),427220000
2021-10-17,TV (Non-English),484110000
2021-10-24,Films (English),79640000
2021-10-24,Films (Non-English),66390000
2021-10-24,TV (English),457250000
2021-10-24,TV (Non-English),365010000
2021-10-31,Films (English),137850000
2021-10-31,Films (Non-English),41850000
2021-10-31,TV (English),395270000
2021-10-31,TV (Non-English),244110000
2021-11-07,Films (English),248250000
2021-11-07,Films (Non-English),41380000
2021-11-07,TV (English),285890000
2021-11-07,TV (Non-English),174900000
2021-11-14,Films (English),311370000
2021-11-14,Films (Non-English),48670000
2021-11-14,TV (English),258500000
2021-11-14,TV (Non-English),133910000
2021-11-21,Films (English),255070000
2021-11-21,Films (Non-English),45120000
2021-11-21,TV (English),215480000
2021-11-21,TV (Non-English),189200000
2021-11-28,Films (English),226440000
2021-11-28,Films (Non-English),57370000
2021-11-28,TV (English),241570000
2021-11-28,TV (Non-English),240640000
2021-12-05,Films (English),169840000
2021-12-05,Films (Non-English),79740000
2021-12-05,TV (English),217490000
2021-12-05,TV (Non-English),379480000
2021-12-12,Films (English),192530000
2021-12-12,Films (Non-English),73400000
2021-12-12,TV (English),181130000
2021-12-12,TV (Non-English),305700000
2021-12-19,Films (English),202430000
2021-12-19,Films (Non-English),50850000
2021-12-19,TV (English),301590000
2021-12-19,TV (Non-English),191280000
2021-12-26,Films (English),265760000
2021-12-26,Films (Non-English),45760000
2021-12-26,TV (English),415900000
2021-12-26,TV (Non-English),177440000
2022-01-02,Films (English),272420000
2022-01-02,Films (Non-English),67650000
2022-01-02,TV (English),459280000
2022-01-02,TV (Non-English),228740000
2022-01-09,Films (English),184480000
2022-01-09,Films (Non-English),51290000
2022-01-09,TV (English),451890000
2022-01-09,TV (Non-English),267840000
2022-01-16,Films (English),155830000
2022-01-16,Films (Non-English),41480000
2022-01-16,TV (English),286090000
2022-01-16,TV (Non-English),250440000
2022-01-23,Films (English),155880000
2022-01-23,Films (Non-English),35570000
2022-01-23,TV (English),346730000
2022-01-23,TV (Non-English),222770000
2022-01-30,Films (English),112340000
2022-01-30,Films (Non-English),39410000
2022-01-30,TV (English),343980000
2022-01-30,TV (Non-English),349350000
2022-02-06,Films (English),151610000
2022-02-06,Films (Non-English),67280000
2022-02-06,TV (English),339650000
2022-02-06,TV (Non-English),478020000
2022-02-13,Films (English),164410000
2022-02-13,Films (Non-English),96350000
2022-02-13,TV (English),312940000
2022-02-13,TV (Non-English),314560000
2022-02-20,Films (English),153400000
2022-02-20,Films (Non-English),71260000
2022-02-20,TV (English),387730000
2022-02-20,TV (Non-English),239250000
2022-02-27,Films (English),119250000
2022-02-27,Films (Non-English),68510000
2022-02-27,TV (English),386570000
2022-02-27,TV (Non-English),173640000
2022-03-06,Films (English),166620000
2022-03-06,Films (Non-English),73800000
2022-03-06,TV (English),398230000
2022-03-06,TV (Non-English),183340000
2022-03-13,Films (English),185200000
2022-03-13,Films (Non-English),64610000
2022-03-13,TV (English),384540000
2022-03-13,TV (Non-English),165420000
2022-03-20,Films (English),175830000
2022-03-20,Films (Non-English),88100000
2022-03-20,TV (English),286860000
2022-03-20,TV (Non-English),149490000
2022-03-27,Films (English),122320000
2022-03-27,Films (Non-English),109280000
2022-03-27,TV (English),436520000
2022-03-27,TV (Non-English),154730000
2022-04-03,Films (English),95910000
2022-04-03,Films (Non-English),68740000
2022-04-03,TV (English),436610000
2022-04-03,TV (Non-English),144320000
2022-04-10,Films (English),95600000
2022-04-10,Films (Non-English),80080000
2022-04-10,TV (English),299540000
2022-04-10,TV (Non-English),184110000
2022-04-17,Films (English),115640000
2022-04-17,Films (Non-English),75040000
2022-04-17,TV (English),267590000
2022-04-17,TV (Non-English),180750000
2022-04-24,Films (English),85380000
2022-04-24,Films (Non-English),34860000
2022-04-24,TV (English),286500000
2022-04-24,TV (Non-English),219170000
2022-05-01,Films (English),158130000
2022-05-01,Films (Non-English),44360000
2022-05-01,TV (English),269970000
2022-05-01,TV (Non-English),207930000
2022-05-08,Films (English),111620000
2022-05-08,Films (Non-English),89120000
2022-05-08,TV (English),241670000
2022-05-08,TV (Non-English),168120000
2022-05-15,Films (English),159230000
2022-05-15,Films (Non-English),93690000
2022-05-15,TV (English),197210000
2022-05-15,TV (Non-English),187910000
2022-05-22,Films (English),181520000
2022-05-22,Films (Non-English),77890000
2022-05-22,TV (English),248380000
2022-05-22,TV (Non-English),184440000
2022-05-29,Films (English),124250000
2022-05-29,Films (Non-English),79910000
2022-05-29,TV (English),514950000
2022-05-29,TV (Non-English),194010000
2022-06-05,Films (English),122450000
2022-06-05,Films (Non-English),42560000
2022-06-05,TV (English),634950000
2022-06-05,TV (Non-English),137310000
2022-06-12,Films (English),182740000
2022-06-12,Films (Non-English),28300000
2022-06-12,TV (English),489920000
2022-06-12,TV (Non-English),138010000
2022-06-19,Films (English),183880000
2022-06-19,Films (Non-English),67380000
2022-06-19,TV (English),409920000
2022-06-19,TV (Non-English),122730000
2022-06-26,Films (English),212830000
2022-06-26,Films (Non-English),53760000
2022-06-26,TV (English),410320000
2022-06-26,TV (Non-English),131750000
2022-07-03,Films (English),169910000
2022-07-03,Films (Non-English),36340000
2022-07-03,TV (English),596270000
2022-07-03,TV (Non-English),137600000
